reportingYear,EPRTRAnnexIMainActivity,Longitude,Latitude,Pollutant,Releases,distance_from_rome_km,Sector_Chemical industry,Sector_Energy sector,Sector_Intensive livestock production and aquaculture,Sector_Mineral industry,Sector_Other activities,Sector_Paper and wood production and processing,Sector_Production and processing of metals,Sector_Waste and wastewater management
2024,7(a),10.259444,45.187222,Ammonia (NH3),10470.0,407.2467987388088,0,0,1,0,0,0,0,0
2022,5(b),10.3557,44.8382,Carbon dioxide (CO2),169962207.8,369.39567068083886,0,0,0,0,0,0,0,1
2022,7(a),10.1607,45.4418,Ammonia (NH3),20732.0,436.00697447621354,0,0,1,0,0,0,0,0
2024,1(a),13.3813,43.6395,Non-methane volatile organic compounds (NMVOC),107900.0,206.17477195412638,0,1,0,0,0,0,0,0
2023,3(c),12.5467,43.3636,Ammonia (NH3),14818.0,162.48565083014304,0,0,0,1,0,0,0,0
2021,9(c),9.4708,46.1397,Non-methane volatile organic compounds (NMVOC),124060.0,529.5034344125139,0,0,0,0,1,0,0,0
2023,7(a),9.55785,45.285233,Ammonia (NH3),11186.0,444.29069020281884,0,0,1,0,0,0,0,0
2023,6(b),10.5667,44.9333,Nitrogen oxides (NOX),148910.0,371.24431001675197,0,0,0,0,0,1,0,0
2023,5(d),12.6369,42.7786,Methane (CH4),237757.6,98.06673450079657,0,0,0,0,0,0,0,1
2022,3(e),17.1872,40.8686,Nitrogen oxides (NOX),121670.0,407.82271882162723,0,0,0,1,0,0,0,0
2021,5(d),8.508611,45.553056,Methane (CH4),208354.3,516.9837570926369,0,0,0,0,0,0,0,1
2022,2(b),10.3894,45.6392,Lead and compounds (as Pb),205.248,448.5499430851952,0,0,0,0,0,0,1,0
2023,7(a),13.6475,42.8009,Ammonia (NH3),10180.0,137.54910255180917,0,0,1,0,0,0,0,0
2022,4(e),9.7828,45.6836,Non-methane volatile organic compounds (NMVOC),118652.0,473.4049560693992,1,0,0,0,0,0,0,0
2022,3(e),11.0928,45.1436,Cadmium and compounds (as Cd),21.0,377.69529539990066,0,0,0,1,0,0,0,0
